clientid;income;sexo;Produto;age;loan;default;tempo
438;62519,18;1,00;1,00;44,41;2324,55;0,00;8,00
439;50878,96;1,00;1,00;44,97;3257,01;0,00;3,00
440;58580,96;1,00;1,00;56,63;4317,72;0,00;7,00
441;69445,65;1,00;1,00;28,82;10643,40;1,00;49,00
442;60929,17;1,00;1,00;60,06;11146,07;0,00;4,00
443;35496,67;1,00;1,00;47,00;168,05;0,00;10,00
444;33572,42;1,00;1,00;57,44;3369,38;0,00;5,00
445;55306,91;1,00;1,00;20,14;5272,54;0,00;0,00
446;34141,93;1,00;1,00;47,15;3371,66;0,00;2,00
447;40453,89;1,00;1,00;20,71;890,94;0,00;4,00
448;69088,78;1,00;1,00;53,94;11246,49;0,00;10,00
449;30885,69;1,00;1,00;55,15;5216,35;0,00;7,00
450;58683,23;1,00;1,00;24,84;271,73;0,00;4,00
451;60675,81;1,00;1,00;39,96;11617,75;0,00;4,00
452;68460,68;1,00;1,00;35,78;949,96;0,00;6,00
453;63653,84;1,00;1,00;27,52;8866,53;1,00;46,00
454;42522,58;1,00;1,00;18,33;5036,26;0,00;3,00
455;54140,43;1,00;1,00;30,89;7896,22;1,00;41,00
456;47548,36;1,00;1,00;47,84;6153,94;0,00;2,00
457;24114,01;1,00;1,00;52,34;3900,83;0,00;0,00
458;20686,24;1,00;1,00;33,28;3052,58;1,00;56,00
459;21412,31;1,00;1,00;26,38;2639,71;1,00;59,00
460;69391,15;1,00;1,00;63,80;2550,27;0,00;5,00
461;32319,26;1,00;1,00;42,93;2733,42;0,00;6,00
462;52862,95;1,00;1,00;47,33;9754,15;0,00;5,00
463;48383,28;1,00;1,00;39,70;2763,26;0,00;0,00
464;36430,54;1,00;1,00;38,23;5855,19;0,00;8,00
465;44268,89;1,00;1,00;27,93;6043,14;1,00;46,00
466;63806,33;1,00;1,00;56,63;114,50;0,00;3,00
467;46195,78;1,00;1,00;32,41;927,07;0,00;9,00
468;23743,16;1,00;1,00;42,73;3254,75;0,00;1,00
469;22089,84;1,00;1,00;21,30;2584,02;0,00;4,00
470;54707,29;1,00;1,00;44,24;10255,19;0,00;10,00
471;23203,65;1,00;1,00;58,57;749,15;0,00;9,00
472;25342,25;1,00;1,00;40,36;871,53;0,00;7,00
473;31645,63;1,00;1,00;32,16;5193,84;1,00;46,00
474;32306,81;1,00;1,00;21,91;3603,36;0,00;10,00
475;61262,82;1,00;1,00;49,41;5564,16;0,00;2,00
476;26388,73;1,00;1,00;19,37;1191,33;0,00;9,00
477;53009,43;1,00;1,00;36,07;3589,25;0,00;7,00
478;58163,54;1,00;1,00;58,75;2237,93;0,00;9,00
479;38665,03;1,00;1,00;55,13;6152,00;0,00;10,00
480;25289,05;1,00;1,00;53,34;3701,54;0,00;5,00
481;66049,93;1,00;1,00;29,32;13172,68;1,00;54,00
482;56282,98;1,00;1,00;62,37;8215,56;0,00;6,00
483;35778,62;1,00;1,00;30,63;5544,65;1,00;51,00
484;29174,24;1,00;1,00;18,53;665,58;0,00;9,00
485;55934,43;1,00;1,00;60,76;5643,18;0,00;10,00
486;32256,86;1,00;1,00;20,10;2809,32;0,00;3,00
487;68052,81;1,00;1,00;28,76;1415,72;0,00;5,00
488;26957,05;1,00;1,00;55,26;4172,99;0,00;6,00
489;48685,04;1,00;1,00;32,53;9698,58;1,00;55,00
490;38288,07;1,00;1,00;28,74;1723,40;0,00;0,00
491;42468,02;1,00;1,00;28,63;1902,27;0,00;0,00
492;55377,77;1,00;1,00;46,92;6882,87;0,00;4,00
493;54231,70;1,00;1,00;21,27;10156,14;1,00;57,00
494;53283,26;1,00;1,00;49,00;4065,22;0,00;0,00
495;52534,79;1,00;1,00;47,18;3810,13;0,00;1,00
496;47847,52;1,00;1,00;26,65;8494,02;1,00;56,00
497;59998,25;1,00;1,00;54,31;4659,54;0,00;2,00
498;58684,51;1,00;1,00;31,73;5415,82;0,00;9,00
499;49114,79;1,00;1,00;61,48;6388,85;0,00;10,00
500;57179,40;1,00;1,00;21,37;2991,97;0,00;0,00
501;69395,12;1,00;1,00;23,95;11047,68;1,00;42,00
502;43963,74;1,00;1,00;41,55;4481,44;0,00;1,00
503;66326,47;1,00;1,00;40,98;5602,16;0,00;6,00
504;35886,73;1,00;1,00;34,67;843,75;0,00;9,00
505;35578,23;1,00;1,00;42,39;3640,85;0,00;3,00
506;48689,00;1,00;1,00;36,56;3859,47;0,00;9,00
507;56510,84;1,00;1,00;47,31;9255,44;0,00;1,00
508;50275,90;1,00;1,00;41,82;5541,82;0,00;6,00
509;56665,49;1,00;1,00;61,65;11159,79;0,00;8,00
510;42912,09;1,00;1,00;60,58;4550,12;0,00;1,00
511;22169,73;1,00;1,00;36,97;947,20;0,00;2,00
512;35919,81;1,00;1,00;27,30;1227,11;0,00;2,00
513;61987,69;1,00;1,00;27,63;2618,24;0,00;9,00
514;30044,68;1,00;1,00;49,77;1428,44;0,00;8,00
515;61528,27;1,00;1,00;55,90;10897,91;0,00;5,00
516;31196,49;1,00;1,00;47,18;987,26;0,00;5,00
517;66003,96;1,00;1,00;33,07;11207,50;1,00;57,00
518;56960,67;1,00;1,00;25,52;4856,48;0,00;9,00
519;41315,11;1,00;1,00;57,52;1378,91;0,00;1,00
520;64913,34;1,00;1,00;26,77;9781,33;1,00;59,00
521;32804,90;1,00;1,00;62,29;4961,26;0,00;9,00
522;25789,21;1,00;1,00;26,49;2410,28;0,00;3,00
523;31908,35;1,00;1,00;38,25;1857,46;0,00;10,00
524;56050,30;1,00;1,00;23,97;6870,84;1,00;46,00
525;66505,78;1,00;1,00;25,62;6571,20;0,00;3,00
526;57504,07;1,00;1,00;55,72;8107,27;0,00;7,00
527;44619,11;1,00;1,00;59,85;2474,98;0,00;1,00
528;21158,94;1,00;1,00;54,30;3562,31;0,00;6,00
529;22765,19;1,00;1,00;20,59;540,62;0,00;8,00
530;25052,82;1,00;1,00;45,57;3367,70;0,00;3,00
531;61006,11;1,00;1,00;54,18;5850,77;0,00;0,00
532;62321,24;1,00;1,00;45,89;10649,07;0,00;4,00
533;49604,54;1,00;1,00;51,94;7045,92;0,00;4,00
534;48433,37;1,00;1,00;28,53;789,63;0,00;2,00
535;57590,28;1,00;1,00;19,50;7676,31;1,00;48,00
536;62691,70;1,00;1,00;25,06;8244,75;1,00;46,00
537;51121,66;1,00;1,00;58,53;6471,63;0,00;6,00
538;22516,54;1,00;1,00;55,52;4267,45;0,00;6,00
539;60857,24;1,00;1,00;37,39;10486,74;0,00;1,00
540;62908,36;1,00;1,00;51,15;3213,90;0,00;5,00
541;49665,63;1,00;1,00;50,32;2713,89;0,00;1,00
542;65322,80;1,00;1,00;41,45;2739,72;0,00;7,00
543;20598,93;1,00;1,00;35,77;3872,40;0,00;8,00
544;55476,66;1,00;1,00;52,09;4733,51;0,00;9,00
545;26218,49;1,00;1,00;18,42;3343,82;1,00;40,00
546;40794,87;1,00;1,00;38,04;6519,44;0,00;9,00
547;53719,65;1,00;1,00;42,89;1670,74;0,00;1,00
548;20715,54;1,00;1,00;27,53;369,53;0,00;9,00
549;57163,85;1,00;1,00;53,54;577,53;0,00;9,00
550;33751,21;1,00;1,00;25,30;6494,18;1,00;42,00
551;44832,56;1,00;1,00;32,18;1256,25;0,00;8,00
552;51035,63;1,00;1,00;58,99;2889,88;0,00;8,00
553;53493,49;1,00;1,00;21,87;5030,83;0,00;6,00
554;58205,68;1,00;1,00;56,84;10035,60;0,00;4,00
555;47439,94;1,00;1,00;22,35;7896,36;1,00;43,00
556;47586,23;1,00;1,00;42,28;3343,06;0,00;6,00
557;26100,85;1,00;1,00;62,32;960,14;0,00;6,00
558;45326,40;1,00;1,00;59,36;5142,11;0,00;6,00
559;24391,76;1,00;1,00;47,04;2198,14;0,00;8,00
560;53741,37;1,00;1,00;49,73;6513,15;0,00;0,00
561;40053,72;1,00;1,00;27,94;44,53;0,00;0,00
562;53033,86;1,00;1,00;38,46;10427,47;0,00;8,00
563;25176,50;1,00;1,00;53,54;3064,72;0,00;1,00
564;31210,85;1,00;1,00;54,10;3853,09;0,00;3,00
565;23532,28;1,00;1,00;59,63;1077,84;0,00;10,00
566;63776,77;1,00;1,00;43,81;6697,97;0,00;10,00
567;52278,77;1,00;1,00;45,93;4269,14;0,00;0,00
568;56015,81;1,00;1,00;32,51;2275,76;0,00;1,00
569;56110,94;1,00;1,00;62,83;9351,01;0,00;5,00
570;57856,81;1,00;1,00;33,68;8824,16;1,00;44,00
571;30187,09;1,00;1,00;28,16;4462,82;1,00;43,00
572;30786,87;1,00;1,00;47,07;3563,32;0,00;5,00
573;22279,30;1,00;1,00;58,91;3141,34;0,00;4,00
574;42476,27;1,00;1,00;46,44;8334,18;0,00;9,00
575;58147,80;1,00;1,00;34,06;3951,19;0,00;2,00
576;36266,21;1,00;1,00;55,54;3206,93;0,00;6,00
577;39045,50;1,00;1,00;27,43;1165,49;0,00;1,00
578;64467,80;1,00;1,00;63,40;521,58;0,00;6,00
579;36594,81;1,00;1,00;60,91;3492,33;0,00;8,00
580;58797,76;1,00;1,00;53,40;8892,96;0,00;6,00
581;66653,27;1,00;1,00;19,89;5180,71;0,00;9,00
582;48271,50;1,00;1,00;21,66;6077,68;1,00;54,00
583;30991,43;1,00;1,00;34,01;4589,27;1,00;54,00
584;45446,52;1,00;1,00;19,30;8474,98;1,00;45,00
585;37142,74;1,00;1,00;50,30;161,24;0,00;2,00
586;58320,81;1,00;1,00;20,26;10033,49;1,00;40,00
587;24825,54;1,00;1,00;54,82;3650,20;0,00;0,00
588;20511,43;1,00;1,00;27,20;931,79;0,00;3,00
589;48326,32;1,00;1,00;35,65;7168,71;0,00;8,00
590;55441,36;1,00;1,00;48,06;10768,75;0,00;9,00
591;60496,91;1,00;1,00;33,95;1115,15;0,00;5,00
592;25296,15;1,00;1,00;44,36;1320,46;0,00;3,00
593;50414,32;1,00;1,00;56,19;2468,17;0,00;9,00
594;67984,04;1,00;1,00;27,47;1642,97;0,00;6,00
595;50382,40;1,00;1,00;57,10;9183,84;0,00;8,00
596;49413,30;1,00;1,00;18,65;2554,04;0,00;3,00
597;61464,82;1,00;1,00;36,41;5099,09;0,00;4,00
598;53784,05;1,00;1,00;24,39;2761,85;0,00;0,00
599;35993,29;1,00;1,00;41,88;901,93;0,00;7,00
600;63402,00;1,00;1,00;47,22;7530,77;0,00;1,00
601;40484,97;1,00;1,00;39,28;1093,68;0,00;0,00
602;26168,01;1,00;1,00;41,94;3040,98;0,00;1,00
603;60044,28;1,00;1,00;61,31;6823,43;0,00;8,00
604;23984,55;1,00;1,00;51,14;4622,28;0,00;3,00
605;40359,70;1,00;1,00;32,25;1783,70;0,00;0,00
606;33583,89;1,00;1,00;62,13;1251,87;0,00;7,00
607;68038,79;1,00;1,00;62,95;10108,80;0,00;8,00
608;45652,06;1,00;1,00;53,67;5408,21;0,00;3,00
609;34399,21;1,00;1,00;31,76;6019,83;1,00;50,00
610;57628,44;1,00;1,00;23,99;5021,64;0,00;4,00
611;24294,68;1,00;1,00;22,26;4360,05;1,00;58,00
612;52218,88;1,00;1,00;37,54;9792,09;0,00;0,00
613;50061,77;1,00;1,00;55,36;6145,13;0,00;2,00
614;49352,27;1,00;1,00;57,54;3362,77;0,00;9,00
615;21087,36;1,00;2,00;49,31;3353,69;0,00;7,00
616;23812,25;1,00;2,00;42,77;2716,66;0,00;1,00
617;49395,17;1,00;2,00;41,08;5927,57;0,00;3,00
618;33338,94;1,00;2,00;46,60;2929,85;0,00;6,00
619;29668,32;1,00;2,00;38,68;2042,44;0,00;6,00
620;45936,60;1,00;2,00;41,99;8525,23;0,00;2,00
621;55948,07;1,00;2,00;40,30;8569,22;0,00;6,00
622;53239,50;1,00;2,00;63,52;4606,16;0,00;5,00
623;43694,03;1,00;2,00;49,52;5049,64;0,00;8,00
624;24078,07;1,00;2,00;38,49;3276,14;0,00;3,00
625;50258,55;1,00;2,00;22,54;1086,25;0,00;1,00
626;41816,66;1,00;2,00;48,92;4534,58;0,00;9,00
627;36892,72;1,00;2,00;54,45;6463,65;0,00;2,00
628;23886,57;1,00;1,00;34,44;4440,42;1,00;60,00
629;48757,77;1,00;2,00;23,08;1833,58;0,00;9,00
630;34601,68;1,00;2,00;33,85;2430,10;0,00;1,00
631;52986,00;1,00;2,00;50,42;4928,61;0,00;9,00
632;50740,95;1,00;2,00;21,72;784,58;0,00;10,00
633;53096,99;1,00;2,00;36,35;2663,05;0,00;3,00
634;38500,00;1,00;2,00;53,93;7571,68;0,00;10,00
635;41004,26;1,00;2,00;55,85;1016,14;0,00;6,00
636;63585,36;1,00;2,00;49,34;1594,97;0,00;2,00
637;31823,68;1,00;2,00;30,98;2290,43;0,00;4,00
638;26242,63;1,00;2,00;32,60;1801,23;0,00;4,00
639;63531,25;1,00;2,00;19,33;6917,51;0,00;1,00
640;64751,15;1,00;2,00;53,64;2289,85;0,00;4,00
641;31091,28;1,00;2,00;50,90;4071,08;0,00;8,00
642;66871,27;1,00;2,00;62,69;3614,27;0,00;8,00
643;25098,65;1,00;2,00;51,65;2611,85;0,00;8,00
644;33720,59;1,00;2,00;47,25;1365,95;0,00;3,00
645;28182,52;1,00;2,00;25,53;2285,96;0,00;1,00
646;27334,57;1,00;2,00;42,67;2963,79;0,00;6,00
647;68694,84;1,00;1,00;23,08;12731,89;1,00;41,00
648;46195,62;1,00;2,00;26,63;2888,63;0,00;6,00
649;34488,21;1,00;2,00;27,13;2156,31;0,00;4,00
650;57827,66;1,00;1,00;23,97;10816,76;1,00;53,00
651;20346,47;1,00;2,00;35,72;656,03;0,00;9,00
652;60480,98;1,00;2,00;53,43;3216,09;0,00;1,00
653;51915,68;1,00;2,00;44,11;2282,91;0,00;7,00
654;54625,51;1,00;1,00;31,70;8619,75;1,00;58,00
655;48305,43;1,00;2,00;55,21;4833,48;0,00;7,00
656;28577,96;1,00;2,00;21,42;1639,23;0,00;10,00
657;53400,83;1,00;2,00;58,08;10418,19;0,00;8,00
658;43414,49;1,00;2,00;44,45;7170,95;0,00;3,00
659;47526,23;1,00;2,00;57,22;8957,33;0,00;6,00
660;46082,07;1,00;2,00;55,16;2921,24;0,00;9,00
661;32195,59;1,00;2,00;62,20;4980,01;0,00;1,00
662;49067,09;1,00;2,00;60,54;7258,97;0,00;9,00
663;21293,48;1,00;2,00;42,40;1368,69;0,00;0,00
664;52100,92;1,00;2,00;23,18;4767,28;0,00;2,00
665;48334,39;1,00;2,00;53,37;2234,44;0,00;1,00
666;58507,62;1,00;2,00;48,98;694,14;0,00;10,00
667;27521,04;1,00;2,00;35,09;2699,85;0,00;4,00
668;63914,23;1,00;2,00;26,35;139,31;0,00;0,00
669;28598,83;1,00;2,00;52,53;524,20;0,00;6,00
670;23298,47;1,00;2,00;48,65;1741,18;0,00;4,00
671;35697,55;1,00;2,00;51,39;2907,96;0,00;1,00
672;40376,16;1,00;2,00;38,92;3901,94;0,00;5,00
673;56534,97;1,00;2,00;27,81;2161,08;0,00;3,00
674;36088,94;1,00;2,00;41,72;6222,42;0,00;3,00
675;34158,63;1,00;2,00;29,42;2911,41;0,00;10,00
676;29732,06;1,00;2,00;38,88;3485,02;0,00;9,00
677;41736,20;1,00;1,00;34,60;7602,61;1,00;49,00
678;42236,46;1,00;2,00;24,69;4749,07;0,00;4,00
679;28796,85;1,00;2,00;44,63;706,23;0,00;9,00
680;55097,39;1,00;1,00;33,93;9342,48;1,00;45,00
681;40916,56;1,00;2,00;48,32;5219,80;0,00;0,00
682;20908,34;1,00;1,00;28,82;3133,62;1,00;43,00
683;57999,77;1,00;2,00;62,77;859,59;0,00;10,00
684;57746,58;1,00;2,00;63,63;727,19;0,00;4,00
685;55116,23;1,00;2,00;41,47;10284,61;0,00;6,00
686;57765,52;1,00;2,00;43,89;5445,22;0,00;6,00
687;45200,99;1,00;2,00;43,91;7335,96;0,00;5,00
688;42435,19;1,00;2,00;51,49;2766,28;0,00;10,00
689;46365,57;1,00;2,00;41,85;5443,28;0,00;4,00
690;57187,70;1,00;2,00;59,47;9390,67;0,00;0,00
691;66539,93;1,00;2,00;57,71;12129,08;0,00;4,00
692;25244,73;1,00;2,00;53,38;1279,00;0,00;5,00
693;54780,35;1,00;2,00;61,39;8134,22;0,00;1,00
694;59253,12;1,00;2,00;36,92;7327,28;0,00;2,00
695;48540,34;1,00;2,00;21,24;1012,93;0,00;8,00
696;30415,11;1,00;1,00;22,98;4362,08;1,00;53,00
697;48768,70;1,00;2,00;25,93;500,60;0,00;1,00
698;52299,22;1,00;1,00;18,31;7880,69;1,00;55,00
699;42242,49;1,00;2,00;34,22;2070,38;0,00;10,00
700;28218,97;1,00;2,00;42,62;1305,08;0,00;6,00
701;40208,13;1,00;2,00;61,37;459,03;0,00;6,00
702;61419,67;1,00;1,00;30,65;9921,67;1,00;41,00
703;51282,51;1,00;1,00;26,55;8445,39;1,00;40,00
704;36017,90;1,00;2,00;43,52;1526,39;0,00;0,00
705;57575,01;1,00;1,00;33,80;9857,23;1,00;58,00
706;53330,77;1,00;2,00;42,38;2343,50;0,00;8,00
707;39834,52;1,00;2,00;63,31;699,96;0,00;0,00
708;62469,43;1,00;2,00;24,26;7286,55;0,00;8,00
709;40334,62;1,00;2,00;45,89;6808,87;0,00;3,00
710;47542,80;1,00;2,00;40,87;9448,21;0,00;10,00
711;55883,62;1,00;2,00;27,37;974,56;0,00;8,00
712;29163,02;1,00;2,00;43,96;1469,13;0,00;6,00
713;47786,14;1,00;1,00;29,71;7181,48;1,00;55,00
714;29736,31;1,00;2,00;35,30;657,05;0,00;9,00
715;50831,43;1,00;1,00;24,35;9572,59;1,00;51,00
716;62030,05;1,00;2,00;46,54;7572,57;0,00;3,00
717;54049,01;1,00;2,00;54,62;4569,65;0,00;1,00
718;34336,02;1,00;2,00;35,83;3441,64;0,00;9,00
719;31895,72;1,00;2,00;48,19;3423,35;0,00;0,00
720;51894,54;1,00;2,00;59,00;6579,53;0,00;10,00
721;37616,71;1,00;2,00;53,44;5732,24;0,00;8,00
722;22076,95;1,00;2,00;57,00;3948,14;0,00;4,00
723;56252,95;1,00;2,00;57,28;7327,07;0,00;1,00
724;26316,76;1,00;2,00;37,22;923,03;0,00;5,00
725;23120,88;1,00;2,00;40,30;1417,85;0,00;7,00
726;39033,03;1,00;2,00;59,68;5757,89;0,00;7,00
727;32420,82;1,00;2,00;32,36;1494,21;0,00;9,00
728;68827,24;1,00;2,00;25,30;1049,18;0,00;5,00
729;58092,20;1,00;2,00;41,81;5277,74;0,00;4,00
730;43538,86;1,00;2,00;46,33;8523,90;0,00;3,00
731;64040,48;1,00;2,00;59,14;5408,73;0,00;1,00
732;34395,23;1,00;2,00;25,55;2089,73;0,00;1,00
733;57405,51;1,00;2,00;45,64;6914,75;0,00;4,00
734;22581,13;1,00;2,00;40,55;34,29;0,00;1,00
735;27952,95;1,00;2,00;42,10;3965,25;0,00;7,00
736;54022,91;1,00;1,00;26,56;10641,45;1,00;52,00
737;63546,16;1,00;2,00;44,41;6170,24;0,00;5,00
738;60713,43;1,00;2,00;56,03;396,23;0,00;4,00
739;44519,33;1,00;2,00;32,39;1446,47;0,00;8,00
740;40997,80;1,00;2,00;55,58;7908,33;0,00;2,00
741;63661,38;1,00;2,00;25,60;6095,31;0,00;7,00
742;34429,15;1,00;2,00;39,71;2240,28;0,00;8,00
743;29181,86;1,00;2,00;48,24;2529,61;0,00;6,00
744;52510,44;1,00;2,00;40,28;1858,31;0,00;5,00
745;37536,35;1,00;2,00;25,86;2634,36;0,00;4,00
746;35683,74;1,00;2,00;44,50;4337,83;0,00;6,00
747;45622,29;1,00;2,00;41,63;528,18;0,00;6,00
748;67385,40;1,00;2,00;29,03;6747,23;0,00;7,00
749;69411,79;1,00;2,00;47,07;12176,78;0,00;6,00
750;48322,51;1,00;1,00;29,26;7732,70;1,00;44,00
751;40836,59;1,00;1,00;22,17;6994,49;1,00;56,00
752;38035,95;1,00;2,00;60,66;4298,71;0,00;6,00
753;42696,97;1,00;2,00;44,53;222,20;0,00;2,00
754;24181,69;1,00;2,00;22,30;1529,02;0,00;3,00
755;33194,40;1,00;2,00;51,18;6615,39;0,00;3,00
756;32541,46;1,00;2,00;34,41;780,83;0,00;2,00
757;38381,41;1,00;2,00;54,08;322,72;0,00;8,00
758;25921,91;1,00;2,00;58,43;5104,75;0,00;8,00
759;58810,97;1,00;1,00;22,11;9099,72;1,00;52,00
760;63025,74;1,00;2,00;56,57;2956,98;0,00;0,00
761;29954,00;1,00;2,00;61,84;5774,07;0,00;8,00
762;40641,52;1,00;2,00;37,66;5042,33;0,00;8,00
763;43940,91;1,00;2,00;38,31;2855,38;0,00;0,00
764;65166,97;1,00;1,00;25,66;8859,09;1,00;55,00
765;58820,38;1,00;2,00;30,75;530,66;0,00;8,00
766;50719,76;1,00;2,00;43,21;4770,94;0,00;3,00
767;46766,60;1,00;2,00;47,78;2383,41;0,00;9,00
768;67520,76;1,00;2,00;45,42;13041,78;0,00;7,00
769;28386,25;1,00;2,00;31,13;1718,94;0,00;6,00
770;68276,03;1,00;2,00;34,51;4842,08;0,00;2,00
771;30731,73;1,00;2,00;40,39;1129,56;0,00;10,00
772;30012,25;1,00;2,00;54,94;3972,15;0,00;0,00
773;38075,32;1,00;2,00;53,11;6928,94;0,00;2,00
774;55932,40;1,00;2,00;44,39;4876,37;0,00;6,00
775;27966,24;1,00;2,00;53,70;4445,20;0,00;9,00
776;53825,54;1,00;2,00;49,71;5272,80;0,00;9,00
777;65451,50;1,00;2,00;60,28;8129,05;0,00;0,00
778;39474,00;1,00;2,00;42,30;6034,15;0,00;0,00
779;42344,81;1,00;2,00;47,42;6800,25;0,00;0,00
780;36112,87;1,00;2,00;60,58;3737,21;0,00;9,00
781;32720,50;1,00;1,00;33,80;4367,26;1,00;42,00
782;27973,83;1,00;2,00;49,67;403,40;0,00;3,00
783;21306,03;1,00;2,00;35,09;3791,02;0,00;0,00
784;36029,30;1,00;2,00;52,64;2928,10;0,00;0,00
785;48457,96;1,00;1,00;22,34;8108,17;1,00;50,00
786;46038,51;1,00;2,00;39,04;6868,99;0,00;10,00
787;34247,16;1,00;1,00;34,70;6458,79;1,00;40,00
788;64247,62;1,00;2,00;31,60;4513,20;0,00;9,00
789;62109,77;1,00;2,00;41,24;2816,43;0,00;7,00
790;21481,80;1,00;2,00;19,96;1137,66;0,00;10,00
791;20762,47;1,00;2,00;25,33;2385,22;0,00;9,00
792;33756,53;1,00;2,00;40,57;1169,84;0,00;6,00
793;54325,81;1,00;1,00;29,64;6978,53;1,00;47,00
794;33197,81;1,00;2,00;59,49;3993,15;0,00;0,00
795;56846,47;1,00;2,00;30,28;5268,23;0,00;5,00
796;26542,93;1,00;2,00;45,83;4233,09;0,00;6,00
797;53200,55;1,00;2,00;59,69;3090,47;0,00;0,00
798;38073,41;1,00;2,00;32,21;2284,01;0,00;7,00
799;43937,22;1,00;2,00;56,41;3213,54;0,00;5,00
800;49284,82;1,00;2,00;51,94;493,59;0,00;9,00
801;22869,32;1,00;2,00;25,91;527,55;0,00;6,00
802;60113,34;1,00;2,00;40,77;8253,38;0,00;3,00
803;23613,26;1,00;2,00;32,47;2469,23;0,00;6,00
804;68755,09;1,00;2,00;53,23;10990,53;0,00;0,00
805;26449,33;1,00;2,00;46,48;2952,12;0,00;9,00
806;42855,42;1,00;2,00;47,13;4923,81;0,00;10,00
807;25686,78;1,00;2,00;35,85;3728,40;0,00;4,00
808;67125,65;1,00;2,00;36,06;7482,07;0,00;6,00
809;27427,79;1,00;2,00;59,70;719,95;0,00;3,00
810;37145,57;1,00;2,00;53,20;1510,74;0,00;6,00
811;41702,60;1,00;2,00;41,94;6105,73;0,00;5,00
812;20710,78;1,00;2,00;49,56;3960,71;0,00;7,00
813;39124,16;1,00;2,00;44,56;401,33;0,00;8,00
814;32834,65;1,00;2,00;60,58;4184,58;0,00;8,00
815;26267,22;1,00;2,00;58,79;1136,12;0,00;1,00
816;41254,23;1,00;1,00;28,95;6993,05;1,00;52,00
817;38268,70;1,00;2,00;30,68;2522,06;0,00;2,00
818;37087,27;1,00;2,00;57,58;6391,15;0,00;5,00
819;38458,13;1,00;2,00;55,86;3644,31;0,00;5,00
820;40185,78;1,00;2,00;31,00;1002,34;0,00;2,00
821;65481,95;1,00;2,00;45,04;10614,25;0,00;4,00
822;57426,68;1,00;2,00;20,12;2461,97;0,00;8,00
823;47903,31;1,00;2,00;46,17;4283,23;0,00;4,00
824;34222,19;1,00;2,00;52,25;3582,15;0,00;2,00
825;28481,27;1,00;2,00;47,42;5302,18;0,00;4,00
826;43069,65;1,00;2,00;41,24;4091,56;0,00;9,00
827;33093,96;1,00;2,00;33,40;3852,99;0,00;10,00
828;61363,86;1,00;2,00;62,14;9636,80;0,00;4,00
829;68100,74;1,00;2,00;47,75;8124,60;0,00;10,00
830;50551,48;1,00;2,00;56,77;5262,62;0,00;7,00
831;54421,05;1,00;2,00;22,96;6229,84;0,00;5,00
832;32152,46;1,00;2,00;57,49;3550,58;0,00;10,00
833;40230,98;1,00;2,00;58,79;745,19;0,00;1,00
834;53483,37;1,00;2,00;29,19;1459,67;0,00;10,00
835;65137,94;1,00;2,00;42,13;10352,18;0,00;2,00
836;29496,59;1,00;2,00;54,67;2216,98;0,00;10,00
837;45181,93;1,00;2,00;48,10;2243,15;0,00;4,00
838;24994,78;1,00;2,00;34,72;51,64;0,00;9,00
839;54820,97;1,00;1,00;20,56;10070,95;1,00;41,00
840;62955,61;1,00;2,00;29,55;207,54;0,00;5,00
841;52956,25;1,00;2,00;25,15;959,10;0,00;2,00
842;40366,20;1,00;1,00;32,07;7410,79;1,00;46,00
843;60005,01;1,00;2,00;40,19;10677,67;0,00;9,00
844;37598,39;1,00;2,00;54,66;3641,81;0,00;5,00
845;61323,00;1,00;2,00;60,17;8699,95;0,00;3,00
846;21243,93;1,00;2,00;57,87;3438,98;0,00;5,00
847;62111,43;1,00;2,00;25,98;499,21;0,00;2,00
848;56524,88;1,00;2,00;54,91;5296,94;0,00;4,00
849;51718,14;1,00;2,00;34,35;1036,62;0,00;10,00
850;43205,63;1,00;2,00;23,13;4835,27;0,00;3,00
851;26934,20;1,00;2,00;35,98;4113,30;0,00;3,00
852;68966,82;1,00;2,00;54,39;6690,64;0,00;7,00
853;31527,35;1,00;2,00;59,02;2062,72;0,00;10,00
854;46839,06;1,00;2,00;28,73;1498,20;0,00;6,00
855;32151,30;1,00;2,00;42,91;4601,94;0,00;5,00
856;40831,80;1,00;2,00;47,15;6429,59;0,00;7,00
857;30868,80;1,00;2,00;58,14;4618,39;0,00;0,00
858;62988,83;1,00;2,00;32,47;6924,90;0,00;1,00
859;65496,77;1,00;2,00;61,96;11805,56;0,00;0,00
860;63032,63;1,00;2,00;24,79;390,34;0,00;7,00
861;27287,07;1,00;1,00;18,70;4509,88;1,00;54,00
862;44299,37;1,00;2,00;24,37;5154,91;0,00;10,00
863;44091,35;1,00;2,00;30,49;1664,10;0,00;10,00
864;26617,03;1,00;2,00;28,62;2727,24;0,00;3,00
865;21856,23;1,00;2,00;47,72;1500,65;0,00;4,00
866;28072,60;1,00;2,00;54,14;1,38;0,00;9,00
867;35950,49;1,00;2,00;35,47;2664,93;0,00;0,00
868;28982,11;1,00;2,00;35,27;1440,50;0,00;9,00
869;51790,73;1,00;2,00;41,15;1281,04;0,00;1,00
870;65000,82;1,00;2,00;21,70;1114,91;0,00;9,00
871;29761,05;1,00;1,00;21,85;3748,26;1,00;56,00
872;23081,45;1,00;2,00;53,90;257,66;0,00;1,00
873;60016,74;1,00;2,00;22,74;1522,65;0,00;8,00
874;54619,16;1,00;2,00;53,60;901,28;0,00;7,00
875;66274,21;1,00;2,00;36,37;10257,92;0,00;3,00
